{'loss_all': 2.1403393745422363, 'loss_G': 1.8048021793365479, 'loss_G_GAN': 0.9859361052513123, 'loss_G_cycle': 0.8188660144805908, 'loss_D': 0.33553725481033325}
{'loss_all': 1.8486520051956177, 'loss_G': 1.5190678834915161, 'loss_G_GAN': 0.49367696046829224, 'loss_G_cycle': 1.0253909826278687, 'loss_D': 0.32958415150642395}
{'loss_all': 2.3572068214416504, 'loss_G': 2.0436363220214844, 'loss_G_GAN': 0.791637659072876, 'loss_G_cycle': 1.251998782157898, 'loss_D': 0.31357043981552124}
{'loss_all': 2.276183843612671, 'loss_G': 1.8678176403045654, 'loss_G_GAN': 0.9609355926513672, 'loss_G_cycle': 0.9068819880485535, 'loss_D': 0.40836650133132935}
{'loss_all': 2.020176649093628, 'loss_G': 1.770749568939209, 'loss_G_GAN': 0.9340208172798157, 'loss_G_cycle': 0.8367286920547485, 'loss_D': 0.24942722916603088}
{'loss_all': 2.039478063583374, 'loss_G': 1.5953352451324463, 'loss_G_GAN': 0.6281025409698486, 'loss_G_cycle': 0.9672325849533081, 'loss_D': 0.4441430866718292}
{'loss_all': 1.9458049535751343, 'loss_G': 1.5178427696228027, 'loss_G_GAN': 0.6345524787902832, 'loss_G_cycle': 0.8832902908325195, 'loss_D': 0.42796212434768677}
{'loss_all': 1.9641234874725342, 'loss_G': 1.6509435176849365, 'loss_G_GAN': 0.7203233242034912, 'loss_G_cycle': 0.9306200742721558, 'loss_D': 0.3131800889968872}
{'loss_all': 2.4424164295196533, 'loss_G': 1.9732403755187988, 'loss_G_GAN': 0.910047173500061, 'loss_G_cycle': 1.0631933212280273, 'loss_D': 0.46917587518692017}
{'loss_all': 2.303908109664917, 'loss_G': 1.7820186614990234, 'loss_G_GAN': 0.5986281633377075, 'loss_G_cycle': 1.1833906173706055, 'loss_D': 0.5218893885612488}
{'loss_all': 2.711073875427246, 'loss_G': 2.375680446624756, 'loss_G_GAN': 0.9472846388816833, 'loss_G_cycle': 1.4283957481384277, 'loss_D': 0.3353932201862335}
{'loss_all': 2.307211399078369, 'loss_G': 1.9498002529144287, 'loss_G_GAN': 0.8245348334312439, 'loss_G_cycle': 1.12526535987854, 'loss_D': 0.35741126537323}
{'loss_all': 2.221137046813965, 'loss_G': 1.5849807262420654, 'loss_G_GAN': 0.7751854062080383, 'loss_G_cycle': 0.8097952604293823, 'loss_D': 0.6361563205718994}
{'loss_all': 2.006807327270508, 'loss_G': 1.510338306427002, 'loss_G_GAN': 0.6246563792228699, 'loss_G_cycle': 0.8856819868087769, 'loss_D': 0.4964689314365387}
{'loss_all': 2.4236786365509033, 'loss_G': 2.112840414047241, 'loss_G_GAN': 0.9704427719116211, 'loss_G_cycle': 1.1423976421356201, 'loss_D': 0.3108382821083069}
{'loss_all': 2.4257516860961914, 'loss_G': 1.9195958375930786, 'loss_G_GAN': 0.9834055304527283, 'loss_G_cycle': 0.9361903071403503, 'loss_D': 0.5061560273170471}
{'loss_all': 1.9752528667449951, 'loss_G': 1.7189559936523438, 'loss_G_GAN': 0.8592768907546997, 'loss_G_cycle': 0.859679102897644, 'loss_D': 0.25629687309265137}
{'loss_all': 2.226633310317993, 'loss_G': 1.8390069007873535, 'loss_G_GAN': 0.7482215166091919, 'loss_G_cycle': 1.0907855033874512, 'loss_D': 0.3876262307167053}
{'loss_all': 2.3726935386657715, 'loss_G': 2.0379223823547363, 'loss_G_GAN': 1.1306270360946655, 'loss_G_cycle': 0.9072953462600708, 'loss_D': 0.33477097749710083}
{'loss_all': 2.0534346103668213, 'loss_G': 1.5933523178100586, 'loss_G_GAN': 0.5379902124404907, 'loss_G_cycle': 1.0553621053695679, 'loss_D': 0.46008235216140747}
{'loss_all': 1.9843535423278809, 'loss_G': 1.7102668285369873, 'loss_G_GAN': 1.0411326885223389, 'loss_G_cycle': 0.6691341996192932, 'loss_D': 0.27408671379089355}
{'loss_all': 2.526313543319702, 'loss_G': 2.238926410675049, 'loss_G_GAN': 1.2999545335769653, 'loss_G_cycle': 0.9389716982841492, 'loss_D': 0.2873874604701996}
{'loss_all': 2.2138609886169434, 'loss_G': 1.734774112701416, 'loss_G_GAN': 0.737129807472229, 'loss_G_cycle': 0.997644305229187, 'loss_D': 0.47908684611320496}
